id_aluno,curso,idade,genero,horas_estudo,frequencia,nota1,nota2,nota3
1,Engenharia,22,M,18,95,16,17,15
2,Informatica,21,F,10,80,12,13,11
3,Gestao,24,M,6,65,9,10,8
4,Direito,23,F,15,92,15,14,16
5,Informatica,20,M,20,98,18,19,17
6,Gestao,25,F,4,60,8,7,9
7,Engenharia,22,M,12,85,13,14,12
8,Direito,26,F,8,75,10,11,9
9,Informatica,19,M,22,99,19,18,20
10,Gestao,23,F,5,55,7,8,6
11,Engenharia,21,F,14,88,15,16,14
12,Direito,24,M,9,70,11,12,10
13,Informatica,20,F,17,93,16,17,18
14,Gestao,22,M,7,68,10,9,11
15,Engenharia,23,F,16,96,18,17,19
16,Direito,25,M,11,82,13,12,14
17,Informatica,21,F,19,97,18,19,18
18,Gestao,24,M,3,50,6,7,5
19,Engenharia,22,F,13,87,14,15,13
20,Direito,23,M,10,78,12,11,13
